Film Title,Character,Gender,Race/Ethnicity,Culture,Role,Marginalized,POC,Dialogue,Cleaned Dialogue,Sentiment Scores,Compound Score,Sentiment
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"I would do it. I would kiss a frog. I would kiss a hundred frogs, if I could marry a prince and be a princess.","I would do it. I would kiss a frog. I would kiss a hundred frogs, if I could marry a prince and be a princess.","{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.6808}",0.6808,Positive 😊
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"Daddy, Daddy, look at my new dress! Isn’t it pretty?","Daddy, Daddy, look at my new dress! Is not it pretty?","{'neg': 0.226, 'neu': 0.774, 'pos': 0.0, 'compound': -0.4442}",-0.4442,Negative 😡
The Princess and the Frog,Big Daddy,Male,Caucasian,New Orleans,Antagonist,False,False,"Hah, hah, look at you. Why, I’d expect nothin’ less from the finest seamstress in New Orleans.","Hah, hah, look at you. Why, I would expect nothing less from the finest seamstress in New Orleans.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"Uuh, I want that there.","Uuh, I want that there.","{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.0772}",0.0772,Positive 😊
The Princess and the Frog,Big Daddy,Male,Caucasian,New Orleans,Antagonist,False,False,"Oh, no sugar come on.","Oh, no sugar come on.","{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative 😡
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"I want that one. Please, please, please, please!","I want that one. Please, please, please, please!","{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.8313}",0.8313,Positive 😊
The Princess and the Frog,Big Daddy,Male,Caucasian,New Orleans,Antagonist,False,False,Eudora. You suppose you can web something up like that?,Eudora. You suppose you can web something up like that?,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",0.3612,Positive 😊
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,Yay!,Yay!,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5707}",0.5707,Positive 😊
The Princess and the Frog,Big Daddy,Male,Caucasian,New Orleans,Antagonist,False,False,"All right, now, princess, you gettin’ that drift but that’s it. No more Mr. Pushover.  Now who wants a puppy?","All right, now, princess, you gettin’ that drift but that is it. No more Mr. Pushover.  Now who wants a puppy?","{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.4215}",-0.4215,Negative 😡
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"I do! I do! He’s so cute! Tiana's father James: Mmm, gumbo smells good, Tiana.","I do! I do! He is so cute! Tiana's father James: Mmm, gumbo smells good, Tiana.","{'neg': 0.0, 'neu': 0.611, 'pos': 0.389, 'compound': 0.8245}",0.8245,Positive 😊
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,"I think it’s done, Daddy.","I think it is done, Daddy.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,Mm-hmm.,Mm-hmm.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,Yes!,Yes!,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4574}",0.4574,Positive 😊
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,Wait!  Done.  What?,Wait!  Done.  What?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Eudora,Female,Middle Eastern,New Orleans,Supporting,False,True,I coulda have told you that.,I coulda have told you that.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,"Hey everybody, I made gumbo. Uuuh, that’s smells good I got some hush puppies, Tiana. Here I come!","Hey everybody, I made gumbo. Uuuh, that is smells good I got some hush puppies, Tiana. Here I come!","{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.4926}",0.4926,Positive 😊
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,Our food!,Our food!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,"Daddy, look.","Daddy, look.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,"Charlotte’s faity tale book said, if you make a wish on evening star it’s sure to come true.","Charlotte’s faity tale book said, if you make a wish on evening star it is sure to come true.","{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.7783}",0.7783,Positive 😊
The Princess and the Frog,Eudora,Female,Middle Eastern,New Orleans,Supporting,False,True,"Hmmh, won’t you wish on that star, sweetheart?","Hmmh, will not you wish on that star, sweetheart?","{'neg': 0.167, 'neu': 0.516, 'pos': 0.317, 'compound': 0.4664}",0.4664,Positive 😊
The Princess and the Frog,Eudora,Female,Middle Eastern,New Orleans,Supporting,False,True,"See you in the morning, baby cakes.","See you in the morning, baby cakes.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,"Please, please, please. Well Miss Tiana, rough night for tips but every little penny counts. Don’t you worry, Daddy … We’ll be there soon. Goodnight Cal’s, good morning Duke’s. In the South Land there’s a city Way down on the river Where the women are very pretty And all the men deliver They got music it’s always playin’ Start in the day time go all through the night when you hear that music playin’ Hear what I’m saying and make it feel alright Grab somebody, come on down Bring your paintbrush, we’re painting the town Oh there’s some sweetness going around Catch it down in New Orleans We got magic, good and mase Make it happen, make it real, say If anything you want is lose what you have Down here in New Orleans Hey partner, don’t be shy Come on down here and give us a try You wanna do some livin’ before you die Do it down in New Orleans Stalee homes and mansions Of the sugar darns and cotton candy Rich people, old people, all got dreams … Dreams do come true in New Orleans. Order up! Another coffee here, sug’ . Comin’ right up, Virgil. Hey, Tiana! Morning, Georgia! Hi, how are you doin’ Tiana? Hey y’all! We all goin’ out dancin’ tonight. Care to join us? Yeah, c’mon, Tiana, you could use a little hand. It’s Mardi Gras. No, I got two left feet. Besides I’m gonna… You need a napkin, sweetheart? I’m gonna work a double shift tonight… Here you are, cakes. - You know, so I… - You can save for your restaurant. I know, I know. Girl! All you ever do is work!","Please, please, please. Well Miss Tiana, rough night for tips but every little penny counts. Do not you worry, Daddy … We will be there soon. Goodnight Cal’s, good morning Duke’s. In the South Land there is a city Way down on the river Where the women are very pretty And all the men deliver They got music it is always playin’ Start in the day time go all through the night when you hear that music playin’ Hear what I am saying and make it feel alright Grab somebody, come on down Bring your paintbrush, we are painting the town Oh there is some sweetness going around Catch it down in New Orleans We got magic, good and mase Make it happen, make it real, say If anything you want is lose what you have Down here in New Orleans Hey partner, do not be shy Come on down here and give us a try You want to do some livin’ before you die Do it down in New Orleans Stalee homes and mansions Of the sugar darns and cotton candy Rich people, old people, all got dreams … Dreams do come true in New Orleans. Order up! Another coffee here, sug’ . Comin’ right up, Virgil. Hey, Tiana! Morning, Georgia! Hi, how are you doing Tiana? Hey you all! We all going out dancin’ tonight. Care to join us? Yeah, c’mon, Tiana, you could use a little hand. It is Mardi Gras. No, I got two left feet. Besides I am going to… You need a napkin, sweetheart? I am going to work a double shift tonight… Here you are, cakes. - You know, so I… - You can save for your restaurant. I know, I know. Girl! All you ever do is work!","{'neg': 0.038, 'neu': 0.741, 'pos': 0.221, 'compound': 0.996}",0.996,Positive 😊
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,Maybe next time! I told y’all she wouldn’t come.,Maybe next time! I told you all she would not come.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Lawrence,Male,Caucasian,New Orleans,Antagonist,False,False,"Sire, I've been looking for you everywhere!","Sire, I have been looking for you everywhere!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Prince Naveen,Male,Middle Eastern,Maldonia,Protagonist,False,True,"Oh, what a coincidence, Lawrence! I've been avoiding you everywhere!","Oh, what a coincidence, Lawrence! I have been avoiding you everywhere!","{'neg': 0.272, 'neu': 0.728, 'pos': 0.0, 'compound': -0.4559}",-0.4559,Negative 😡
The Princess and the Frog,Lawrence,Male,Caucasian,New Orleans,Antagonist,False,False,We're going to be late for the masqu...,We are going to be late for the masqu...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Prince Naveen,Male,Middle Eastern,Maldonia,Protagonist,False,True,"Listen, Lawrence! Listen! Oh!  Jazz! Jazz music! It was born here! It's beautiful, no? ? No. Oh, dance with me, fat man. Get loose, Lawrence. We supposed to be at La Bouff’s estate by now. Yes, yes, yes. But first … I buy everyone here a drink. With what? At this point you have two choices: Woo and marry richa lady or … Get a job. All right, fine but first… We dance. This is idiocy. For someone who can’t see his feet, you’re very light on them! It’s perfect. You’re finally getting into the music! Do you get my joke? Because your head is, it is in the tuba! Get me out! All right. Hold on. Degrading. I never been so humiliated. Hello? Gentlemen. Enchantée. A tip of the hat from Dr. Facilier. How y’all doin’? Tarot readings, charms, potions … Dreams made real! - Achedanza! Were I a betting man…And I’m not, - I stay away from games of chance… - Sir! - I’d wager… I’m in the company of visiting royalty. Lawrence, Lawrence! This remarkable gentleman has just read my palm! Or this morning’s newspaper? Sir, this chap is obviously a charlatan. - I suggest we move on to a less… Don’t you disrespect me little man!. Don’t you derogate or deride! You’re in my world now, Not your world And I’ve got friends on the other side! He’s got friends on the other side… That’s just an echo, gentlemen. Just a little somethin’ we have here in Louisiana, a little parlor trick. Don’t worry…. Sit down at my table Put your minds at ease If you relax it will enable me to do anything I please I can read your future I can change it ‘round some, too I’ll look deep into your heart and soul  Make your wildest dreams come true! I got voodoo, I got hoodoo, I got things I ain’t even tried! And I got friends on the other side. He’s got friends on the other side… The cards, the cards, the cards will tell The past, the present, and the future as well The cards, the cards, just take three Take a little trip into your future with me! Now you, young man, are from across the sea You come from two long lines of royalty  Your lifestyle’s high But your funds are low You need to marry a little honey whose daddy got dough Mommy and daddy cut you off, huh playboy? -Yeah, sad but true. Now y’all gotta get hitched, but hitchin’ ties you down. You just wanna be free. Hop from place to place. But freedom… takes green! It’s the green, it’s the green, it’s the green you need And when I looked into your future It’s the green that I see! On you little man, I don’t want to waste much time You been pushed around all your life You been pushed around by your mother and your sister and your brother. And if you was married… You’d be pushed around by your wife But in your future, the you I see It’s exactly the man you always wanted to be! Shake my hand. Come on, boys Won’t you shake the poor sinner’s hand? -Are you ready? -Are you ready? -Are you ready? -Transformation central! -Transformation central! -Reformation central! -Reformation central! Transmogrification central! Can you feel it? You’re changin’, You’re changin’ You’re changin’, all right! I hope you’re satisfied But if you ain’t Don’t blame me You can blame my friends on the other side! You got what you wanted! But you lost what you had! Hush… Ah, Senator Johnson! Hey, Jimmy. I hope you leavin’ some of the beignets so you can stitch once. No, pipe and hot. Stella, excuse me… Stella, no, no. Okay, but just one.","Listen, Lawrence! Listen! Oh!  Jazz! Jazz music! It was born here! It is beautiful, no? ? No. Oh, dance with me, fat man. Get loose, Lawrence. We supposed to be at La Bouff’s estate by now. Yes, yes, yes. But first … I buy everyone here a drink. With what? At this point you have two choices: Woo and marry richa lady or … Get a job. All right, fine but first… We dance. This is idiocy. For someone who cannot see his feet, you are very light on them! It is perfect. You are finally getting into the music! Do you get my joke? Because your head is, it is in the tuba! Get me out! All right. Hold on. Degrading. I never been so humiliated. Hello? Gentlemen. Enchantée. A tip of the hat from Dr. Facilier. How you all doing? Tarot readings, charms, potions … Dreams made real! - Achedanza! Were I a betting man…And I am not, - I stay away from games of chance… - Sir! - I would wager… I am in the company of visiting royalty. Lawrence, Lawrence! This remarkable gentleman has just read my palm! Or this morning’s newspaper? Sir, this chap is obviously a charlatan. - I suggest we move on to a less… Do not you disrespect me little man!. Do not you derogate or deride! You are in my world now, Not your world And I have got friends on the other side! He is got friends on the other side… That is just an echo, gentlemen. Just a little something we have here in Louisiana, a little parlor trick. Do not worry…. Sit down at my table Put your minds at ease If you relax it will enable me to do anything I please I can read your future I can change it ‘round some, too I will look deep into your heart and soul  Make your wildest dreams come true! I got voodoo, I got hoodoo, I got things I are not even tried! And I got friends on the other side. He is got friends on the other side… The cards, the cards, the cards will tell The past, the present, and the future as well The cards, the cards, just take three Take a little trip into your future with me! Now you, young man, are from across the sea You come from two long lines of royalty  Your lifestyle’s high But your funds are low You need to marry a little honey whose daddy got dough Mommy and daddy cut you off, huh playboy? -Yeah, sad but true. Now you all got to get hitched, but hitchin’ ties you down. You just want to be free. Hop from place to place. But freedom… takes green! It is the green, it is the green, it is the green you need And when I looked into your future It is the green that I see! On you little man, I do not want to waste much time You been pushed around all your life You been pushed around by your mother and your sister and your brother. And if you was married… You would be pushed around by your wife But in your future, the you I see It is exactly the man you always wanted to be! Shake my hand. Come on, boys Will not you shake the poor sinner’s hand? -Are you ready? -Are you ready? -Are you ready? -Transformation central! -Transformation central! -Reformation central! -Reformation central! Transmogrification central! Can you feel it? You are changin’, You are changin’ You are changin’, all right! I hope you are satisfied But if you are not Do not blame me You can blame my friends on the other side! You got what you wanted! But you lost what you had! Hush… Ah, Senator Johnson! Hey, Jimmy. I hope you leavin’ some of the beignets so you can stitch once. No, pipe and hot. Stella, excuse me… Stella, no, no. Okay, but just one.","{'neg': 0.065, 'neu': 0.76, 'pos': 0.176, 'compound': 0.9979}",0.9979,Positive 😊
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"Travis, when a woman says ""later"", she really means ""not ever""! Now, run along. There are plenty of young fillies dyin' for you to waltz them into a stupor.  GIMME THEM NAPKINS, QUICK!","Travis, when a woman says ""later"", she really means ""not ever""! Now, run along. There are plenty of young fillies dyin' for you to waltz them into a stupor.  GIVE ME THEM NAPKINS, QUICK!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,What on Earth for?,What on Earth for?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"I swear I am sweatin' like a sinner in church! Oh, Tia, is gettin’ to be so late. - There’s still a few stragglers. This is a failure. Tia, my prince is never comin’. - Now, Lottie… - I never get anything I wish for! Lottie, wait! - Just calm down and take a deep… - Maybe I just got to wish harder. Please, please, please please, please … Lottie, you can’t just wish on a star expecting … Ladies and gentlemen! His Royal Highness, Prince Naveen. Good Evening, Tiana. Marvelous party . Evening, Mr. Fenner. And. .. Mr. Fenner. - I’m smelling meanies. - Gonna be the House specialty, once I signed those papers you’re brought. -Yes … -About that… - You were outbid. - What? The fella came in offering a full amount of cash. Less you can tap his offer by Wednesday. You can kiss that place goodbye. You know how long it took me to save that money? Exactly! Which is why a little woman of your background … woulda had a hands full, trying to run a big business like that. You better off, will y’all, yeah! - No, wait a minute! - No more meanies, no! No. .. hold on a minute! You..you come back! Tia, time to get prince charmed with those man-catchin’ being… What happened? I. .. I …just. Oh, you poor dear.","I swear I am sweatin' like a sinner in church! Oh, Tia, is gettin’ to be so late. - There is still a few stragglers. This is a failure. Tia, my prince is never comin’. - Now, Lottie… - I never get anything I wish for! Lottie, wait! - Just calm down and take a deep… - Maybe I just got to wish harder. Please, please, please please, please … Lottie, you cannot just wish on a star expecting … Ladies and gentlemen! His Royal Highness, Prince Naveen. Good Evening, Tiana. Marvelous party . Evening, Mr. Fenner. And. .. Mr. Fenner. - I am smelling meanies. - Going To be the House specialty, once I signed those papers you are brought. -Yes … -About that… - You were outbid. - What? The fella came in offering a full amount of cash. Less you can tap his offer by Wednesday. You can kiss that place goodbye. You know how long it took me to save that money? Exactly! Which is why a little woman of your background … would have had a hands full, trying to run a big business like that. You better off, will you all, yeah! - No, wait a minute! - No more meanies, no! No. .. hold on a minute! You..you come back! Tia, time to get prince charmed with those man-catchin’ being… What happened? I. .. I …just. Oh, you poor dear.","{'neg': 0.092, 'neu': 0.674, 'pos': 0.234, 'compound': 0.9881}",0.9881,Positive 😊
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"Oh, Prince Naveen, We will be right back, sugar. I got just a dress for you. Oh, Tia, honey, did you see the way he danced with me? A marriage proposal, can be far behind. Thank you, Evening star! You know, I was taught to think that wishing on stars was just for… Babies an’ crazy people. Look at you! Aren’t you just as pretty as a magnolia in May? Seems like only yesterday we were … Both little girls, dreaming our fairy tales dreams. And tonight they’re finally coming true! Well…back into the fray! Wish me luck. Oh, Naveen","Oh, Prince Naveen, We will be right back, sugar. I got just a dress for you. Oh, Tia, honey, did you see the way he danced with me? A marriage proposal, can be far behind. Thank you, Evening star! You know, I was taught to think that wishing on stars was just for… Babies an’ crazy people. Look at you! Are not you just as pretty as a magnolia in May? Seems like only yesterday we were … Both little girls, dreaming our fairy tales dreams. And tonight they are finally coming true! Well…back into the fray! Wish me luck. Oh, Naveen","{'neg': 0.021, 'neu': 0.751, 'pos': 0.228, 'compound': 0.971}",0.971,Positive 😊
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,Almost… Almost there People would come here from everywhere I was almost…there...,Almost… Almost there People would come here from everywhere I was almost…there...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,I can not believe I’m doing this. Please… Please… Please!,I can not believe I am doing this. Please… Please… Please!,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.3802}",0.3802,Positive 😊
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,"Very funny. So, what now? I reckon you want a kiss?","Very funny. So, what now? I reckon you want a kiss?","{'neg': 0.0, 'neu': 0.439, 'pos': 0.561, 'compound': 0.7686}",0.7686,Positive 😊
The Princess and the Frog,Prince Naveen,Male,Middle Eastern,Maldonia,Protagonist,False,True,"Kissing would be nice, yes?  I’m sorry, I’m sorry, I’m sorry. I did not mean to scare you, I… Wait, no , no… Wait, wait, wait, hold on. You know, you have a very strong arm, princess. Ok, please! Put the monkey down.","Kissing would be nice, yes?  I am sorry, I am sorry, I am sorry. I did not mean to scare you, I… Wait, no , no… Wait, wait, wait, hold on. You know, you have a very strong arm, princess. Ok, please! Put the monkey down.","{'neg': 0.11, 'neu': 0.524, 'pos': 0.365, 'compound': 0.9443}",0.9443,Positive 😊
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,"Stay back, or I’ll… I’ll…","Stay back, or I will… I will…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Prince Naveen,Male,Middle Eastern,Maldonia,Protagonist,False,True,"Please, please, please… Ah, oh well…allow me to introduce myself: I’m Prince Naveen. … of Maldonia.","Please, please, please… Ah, oh well…allow me to introduce myself: I am Prince Naveen. … of Maldonia.","{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.5574}",0.5574,Positive 😊
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,"Prince? But I didn’t wish for any… Hold on, if you’re the prince, then… then who was that waltzing with Lottie on the dance floor?","Prince? But I did not wish for any… Hold on, if you are the prince, then… then who was that waltzing with Lottie on the dance floor?","{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.5018}",-0.5018,Negative 😡
The Princess and the Frog,Prince Naveen,Male,Middle Eastern,Maldonia,Protagonist,False,True,"All I know, is one minute I am a prince, charming and handsome, cutting-a-rug, and the next thing I know, …I am tripping over these. Wait, wait, wait… Wait! I know this story! Di Frogie Prutto!","All I know, is one minute I am a prince, charming and handsome, cutting-a-rug, and the next thing I know, …I am tripping over these. Wait, wait, wait… Wait! I know this story! Di Frogie Prutto!","{'neg': 0.0, 'neu': 0.786, 'pos': 0.214, 'compound': 0.8349}",0.8349,Positive 😊
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,The Frog Prince?,The Frog Prince?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Prince Naveen,Male,Middle Eastern,Maldonia,Protagonist,False,True,"Yes, yes, yes… My mother had the servants read this to me every night. Yes, yes… this is exactly the answer! You must kiss me!","Yes, yes, yes… My mother had the servants read this to me every night. Yes, yes… this is exactly the answer! You must kiss me!","{'neg': 0.0, 'neu': 0.646, 'pos': 0.354, 'compound': 0.8881}",0.8881,Positive 😊
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,Excuse me?,Excuse me?,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.0772}",0.0772,Positive 😊
The Princess and the Frog,Prince Naveen,Male,Middle Eastern,Maldonia,Protagonist,False,True,"You will enjoy it, I guarantee. All women enjoy the kiss… of Prince Naveen. Come, we pucker. That’s new.","You will enjoy it, I guarantee. All women enjoy the kiss… of Prince Naveen. Come, we pucker. That is new.","{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.8126}",0.8126,Positive 😊
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,"Look, I’m sorry. I’d really like to help you, but I just… Do not kiss frogs.","Look, I am sorry. I would really like to help you, but I just… Do not kiss frogs.","{'neg': 0.218, 'neu': 0.578, 'pos': 0.204, 'compound': -0.0695}",-0.0695,Negative 😡
The Princess and the Frog,Prince Naveen,Male,Middle Eastern,Maldonia,Protagonist,False,True,"Wait a second! But…On the balcony, you ask me…","Wait a second! But…On the balcony, you ask me…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,I didn’t expect you to answer!,I did not expect you to answer!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
The Princess and the Frog,Prince Naveen,Male,Middle Eastern,Maldonia,Protagonist,False,True,"Oh, but you must kiss me. Look, besides being unbelievably handsome, I also happened to come from a fabulously wealthy family. Surely, I can offer you some type of reward or a wish I could grant perhaps… Yes?","Oh, but you must kiss me. Look, besides being unbelievably handsome, I also happened to come from a fabulously wealthy family. Surely, I can offer you some type of reward or a wish I could grant perhaps… Yes?","{'neg': 0.0, 'neu': 0.44, 'pos': 0.56, 'compound': 0.987}",0.987,Positive 😊
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,Just… One kiss?,Just… One kiss?,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}",0.4215,Positive 😊
The Princess and the Frog,Prince Naveen,Male,Middle Eastern,Maldonia,Protagonist,False,True,Just one. Unless you beg for more.,Just one. Unless you beg for more.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
