Film Title,Character,Dialogue
Aladdin,Aladdin,Trouble?  No way.  You're only in trouble if you get caught-- (A hand grabs ALADDIN's shoulder and yanks him back.  It's the first GUARD.  ALADDIN's disguise falls off.)
Aladdin,Aladdin,I'm in trouble!
Aladdin,Guard,"...and this time--(A screeching sound from ABU, then the guard's turban is pulled down over his eyes.  ABU dances on the GUARD's head, laughing.)"
Aladdin,Aladdin,"Perfect timing, Abu!"
Aladdin,Abu,Hello!
Aladdin,Aladdin,"Come on, let's get outta here! Gotta keep...one jump ahead of the breadline One swing ahead of the sword I steal only what I can't afford That's everything! (ALADDIN battles a GUARD wielding a sword.  He dodges a couple of swings, then pulls down the GUARD's pants.  ABU raspberries the GUARD, then dodges an attack.  The GUARD swings at ALADDIN, but destroys a barrel of fish.  As ALADDIN runs off, the GUARD pulls a fish over his lower body as a pair of pants.) One jump ahead of the lawmen That's all, and that's no joke These guys don't appreciate I'm broke! (ALADDIN and ABU scamper up a pile of barrels, then kick one down on top of another GUARD.)"
Aladdin,Guards,Riffraff! Street rat! Scoundrel! Take that!
Aladdin,Aladdin,"Just a little snack, guys! (ALADDIN scampers to the top of a platform. The GUARDS shake the platform back and fro trying to knock him off.)"
Aladdin,Guards,"Rip him open, take it back guys!"
Aladdin,Aladdin,"I can take a hint, gotta face the facts You're my only friend, Abu!"
Aladdin,Women,"Who?!? (ALADDIN jumps off the platform to certain death, only to grab ABU's hands like an acrobat.  The pair swing into a harem.) Oh, it's sad Aladdin's hit the bottom He's become a one-man rise in crime (ABU finds a plate full of fruit and stuffs his mouth full like a chipmunk.)"
Aladdin,Woman,"I'd blame parents, except he hasn't got 'em!"
Aladdin,Aladdin,"Gotta eat to live, gotta steal to eat Tell you all about it when I got the time! (ALADDIN and ABU exit.  Cut to MUSCLEMAN flexing to a crowd.  The GUARDS rush past.  Cut to ALADDIN and ABU behind the MUSCLEMAN, matching his moves, until they make a mistake and are discovered.) One jump ahead of the slowpokes One skip ahead of my doom Next time gonna use a nom de plume. One jump ahead of the hitmen One hit ahead of the flock I think I'll take a stroll around the block. (A chase sequence, in which ALADDIN and ABU, pursued by the GUARDS, race through a flock of sheep, hurdle a MAN sleeping on a bed of nails {of course one extremely large GUARD lands on him}.  ABU disguises himself with jewels until a SHOPKEEPER discovers him."
Aladdin,Crowd,"Stop, thief! Vandal! Outrage! Scandal!"
Aladdin,Aladdin,"Let's not be too hasty (ALADDIN is surrounded by GUARDS in front of a door. The door opens and a large, ugly LADY comes out.)"
Aladdin,Lady,"Still I think he's rather tasty (ALADDIN tumbles away, then puts his arm around a GUARD, acting like they're all chums.)"
Aladdin,Aladdin,"Gotta eat to live, gotta steal to eat Otherwise we'd get along!"
Aladdin,Guards,"WRONG! (They all jump into a pile and fight.  When they stop, ALADDIN and ABU are gone.  They are sneaking away in barrels.  They run across a flaming pit, followed by GUARDS who hop up and down, screaming in pain as they cross the rocks.  ALADDIN and ABU pass a SWORD SWALLOWER, then ABU goes back, pulls the sword out of the SWALLOWER's mouth.  ABU advances on the guards, who retreat in fear.)"
Aladdin,Guard 1,He's got a sword!
Aladdin,Guard 2,"You idiot--we've ALL got swords!! (ABU sets the sword down gently, then runs.  ALADDIN and ABU are once again surrounded, with GUARDS coming from left and right. He jumps up and climbs a robe trick being done on the street, as the GUARDS all crash into each other.)"
Aladdin,Aladdin,One jump ahead of the hoofbeats!
Aladdin,Crowd,Vandal!
Aladdin,Aladdin,One hop ahead of the hump!
Aladdin,Crowd,Street rat!
Aladdin,Aladdin,One trick ahead of disaster
Aladdin,Crowd,Scoundrel!
Aladdin,Aladdin,They're quick--but I'm much faster
Aladdin,Crowd,Take that! (The GUARDS chase ALADDIN up a staircase into a room.  He grabs a carpet and jumps out the window)
Aladdin,Aladdin,"Here goes, better throw my hand in Wish me happy landin' All I gotta do is jump! (The GUARDS follow him out the window, but they go straight down to the street, and land in a pile with the sign ""Crazy Hakim's Discount Fertilizer.""  ALADDIN uses the carpet as a parachute to land safely and out of danger. ALADDIN and ABU high-five each other.)"
Aladdin,Aladdin,"And now, esteemed effendi, we feast!  All right! (ALADDIN breaks the bread in two and gives half to ABU, who begins to eat.  But ALADDIN looks over and sees two young children rummaging through the garbage for food.  The GIRL sees him, then drops her find and tries to hide.  ALADDIN looks at them, then the bread, then at ABU.)"
Aladdin,Abu,"Uh-oh! (ABU takes a big bite of his food, but ALADDIN gets up and walks over to the children.  The GIRL pulls her brother back.)"
Aladdin,Aladdin,"Here, go on--take it. (The children giggle with delight.  ABU tries to swallow his bite, then looks guilty. He walks over to the children and offers his bread to them.  In delight, they pet him on the head.)"
Aladdin,Abu,"Ah, don't.  Huh? (ABU sees ALADDIN walking into the daylight, where there is a parade going on.ALADDIN peers over the shoulders of people.  He sees PRINCE ACHMED riding on a horse.)"
Aladdin,Bystander 1,"On his way to the palace, I suppose."
Aladdin,Bystander 2,"Another suitor for the princess. (ALADDIN is startled as the two children come running out from the alley. The BOY runs out in front of the PRINCE's horse, startling it.)"
Aladdin,Prince,"Out of my way, you filthy brat! (The PRINCE brings up his whip to attack the children, but ALADDIN jumps in front of them and catches the whip.)"
Aladdin,Aladdin,"Hey, if I were as rich as you, I could afford some manners"
Aladdin,Prince,Oh--I teach you some manners!
Aladdin,Aladdin,"Look at that, Abu.  It's not every day you see a horse with two rear ends!"
Aladdin,Prince,"You are a worthless street rat.  You were born a street rat, you'll die a street rat, and only your fleas will mourn you. (ALADDIN rushes the PRINCE, but the doors to the castle slam shut in his face.)"
Aladdin,Aladdin,"I'm not worthless.  And I don't have fleas.  Come on, Abu.  Let's go home. (ALADDIN makes the climb to his home with the view, then tucks in ABU for the night.)"
Aladdin,Aladdin,"Riffraff, street rat. I don't buy that. If only they'd look closer Would they see a poor boy?  No siree. They'd find out, there's so much more to me. Someday, Abu, things are gonna change.  We'll be rich, live in a palace, and never have any problems at all. (Dissolve to same shot during day.  Cut to int. of SULTAN's chamber. The door bursts open, and PRINCE ACHMED storms in, missing the rear end of his pants.)"
Aladdin,Prince,I've never been so insulted!
Aladdin,Sultan,"Oh, Prince Achmed.  You're not leaving so soon, are you?"
Aladdin,Prince,Good luck marrying her off!
Aladdin,Sultan,"Oh, Jasmine!  Jasmine!  Jasmine!  (The SULTAN goes off into the garden looking for his daughter.  He finds her, but is interrupted by RAJAH, JASMINE's pet tiger, who blocks him off.  RAJAH has a piece of the PRINCE's undershorts in his mouth.The SULTAN grabs the cloth and yanks it out of RAJAH's mouth.) Confound it, Rajah!  So, this is why Prince Achmed stormed out!"
Aladdin,Jasmine,"Oh, father.  Rajah was just playing with him, weren't you Rajah.  (RAJAH comes over and allows JASMINE to pet and hug him.)  You were just playing with that overdressed, self-absorbed Prince Achmed, weren't you?  (She cuddles with RAJAH, enjoying the moment, until she looks up at her angry father. ) Ahem."
Aladdin,Sultan,"Dearest, you've got to stop rejecting every suitor that comes to call.  The law says you..."
Aladdin,Both,...must be married to a prince.
Aladdin,Sultan,By your next birthday.
Aladdin,Jasmine,The law is wrong.
Aladdin,Sultan,You've only got three more days!
Aladdin,Jasmine,"Father,  I hate being forced into this.  (She takes a dove out of the cage and pets it.) If I do marry, I want it to be for love."
Aladdin,Sultan,"Jasmine, it's not only this law.  (She hands him the dove, and he puts it back in the cage.) I'm not going to be around forever, and I just want to make sure you're taken care of, provided for."
Aladdin,Jasmine,"Try to understand.  I've never done a thing on my own. (She swirls her finger in the water of the pond, petting the fish.)I've never had any real friends. Except you, Rajah.  (Satisfied, he goes back to sleep.)  I've never even been outside the palace walls."
Aladdin,Sultan,"But Jasmine, you're a princess."
Aladdin,Jasmine,Then maybe I don't want to be a princess.  (She splashes the water.)
Aladdin,Sultan,Oooohhh!  Allah forbid you should have any daughters! (RAJAH looks up and thinks for a second.  JASMINE goes to the dove cage and yanks open the door.  The birds fly off into freedom. She watches them go.  Cut to int. of SULTAN's chambers.)
Aladdin,Sultan,"I don't know where she gets it from.  Her mother wasn't nearly so picky.  (A shadow falls over him. He looks up startled and sees JAFAR.)  Ooh, oh. Ah, Jafar--my most trusted advisor.  I am in desperate need of your wisdom."
Aladdin,Jafar,"My life is but to serve you, my lord."
Aladdin,Sultan,It's this suitor business.  Jasmine refuses to choose a husband.  I'm at my wit's-end.
Aladdin,Iago,Awk!  Wit's-end.
Aladdin,Sultan,"Oh, ha ha.  Have a cracker, pretty polly!  (He pulls a cracker out from his pocket.  IAGO looks terrified.  Then the SULTAN stuffs it in IAGO's mouth.  IAGO grimaces as he tries to eat it.  JAFAR and the SULTAN both laugh.)"
Aladdin,Jafar,"Your majesty certainly has a way with dumb animals. Now then, perhaps I can divine a solution to this thorny problem."
Aladdin,Sultan,"If anyone can help, it's you."
Aladdin,Jafar,"Ah, but it would require the use of the mystic blue diamond."
Aladdin,Sultan,"Uh, my ring?  But it's been in the family for years."
Aladdin,Jafar,"It is necessary to find the princess a suitor. (JAFAR says the word 'princess' with the accent on the second syllable, ""cess.""  He turns his staff with a cobra head towards the SULTAN.  The eyes of the staff begin to glow. The room darkens, JAFAR's voice slows down and deepens.  The SULTAN's eyes get a hypnotized look.)  Don't worry.  Everything will be fine."
Aladdin,Sultan,Everything...will be...fine.
Aladdin,Jafar,The diamond.
Aladdin,Sultan,"Here, Jafar. Whatever you need will be fine. (The SULTAN removes his ring and hands it to JAFAR. The room returns to normal as JAFAR pulls back the staff.)"
Aladdin,Jafar,"You are most gracious, my liege.  Now run along and play with your little toys."
Aladdin,Sultan,"Yes...that'll be...pretty good. (JAFAR and IAGO exit.  We follow them. When they're out of the room, the parrot spits out the cracker.)"
Aladdin,Iago,"I can't take it anymore!  If I gotta choke down on one more of those moldy, disgusting crackers...bam! Whack!"
Aladdin,Jafar,"Calm yourself, Iago."
Aladdin,Iago,Then I'd grab him around the head.  Whack! Whack!
Aladdin,Jafar,"Soon, I will be sultan, not that addlepated twit."
Aladdin,Iago,"And then I stuff the crackers down his throat!  Ha ha! (The pair pass through a door and slam it shut.  Diss. to ext. gardens at night.  A shadowy figure walks through.  We see it is JASMINE in disguise.  She reaches the palace wall, then begins to climb it. She is tugged from behind by RAJAH.)"
Aladdin,Jasmine,"Oh, I'm sorry, Rajah.  But I can't stay here and have my life lived for me.  I'll miss you.(She begins to climb again, and is helped up by RAJAH, who begins to whine and whimper.)  Good bye! (She disappears over the wall. Cut to daytime on the street  ALADDIN and ABU are up to their capers again.  They are on top of the awning of a fruit stand.)"
Aladdin,Aladdin,"Okay, Abu.  Go!"
Aladdin,Proprietor,"Try this, your taste buds will dance and sing. (ABU grabs a melon and hangs there, distracting his attention.)  Hey, get your paws off that."
Aladdin,Abu,Blah blah blah!
Aladdin,Proprietor,"Why, you!  Get away from here, you filthy ape! (He grabs the melon away from ABU.  But in the foreground, ALADDIN dips down and snatches another melon from the stand.)"
Aladdin,Abu,"Bye bye! (He zings back up.  The PROPRIETOR takes the melon to the front, where he places it on top of a stack.  He looks confused, like he has just done this.)"
Aladdin,Aladdin,Nice goin' Abu.  Breakfast is served. (ALADDIN and ABU on the roof break open the melon and eat.  We see J ASMINE walking through the street.)
Aladdin,Shopkeeper 1,"Pretty lady, buy a pot.  No finer pot in brass or silver."
Aladdin,Shopkeeper 2,"Sugar dates, sugar dates and figs!  Sugar dates and pistachios!"
Aladdin,Shopkeeper 3,"Would the lady like a necklace.  A pretty necklace for a pretty lady. (She is charmed by the action, but is startled by a fish thrust into her face.)"
Aladdin,Shopkeeper 4,"Fresh fish!  We catch 'em, you buy 'em!"
Aladdin,Jasmine,"I don't think so.  (She backs away, but bumps into a fire eater, who is startled into swallowing his fire.)  Oh, excuse me.  (He gulps, then belches fire from his mouth.  JASMINE is disgusted.  He is pleased and taps his stomach.  ALADDIN sees her, and a strange look comes over his face.)  I'm really very sorry."
Aladdin,Aladdin,"Wow! (She pulls the hood of her cloak over her head.  ABU sees him and jumps up on his shoulder, waving his hand in front of ALADDIN's face.)"
Aladdin,Abu,Uh oh.  Hello?  Hello? (JASMINE stops at the fruit stand and sees a young homeless child reaching for a piece of fruit.  She picks one up and gives it to him.)
Aladdin,Jasmine,"Oh, you must be hungry.  Here you go.  (The boy runs off.)"
Aladdin,Proprietor,You'd better be able to pay for that.
Aladdin,Jasmine,Pay?
Aladdin,Proprietor,No one steals from my cart!
Aladdin,Jasmine,"Oh, I'm sorry sir.  I don't have any money."
Aladdin,Proprietor,Thief!
Aladdin,Jasmine,"Please, if you let me go to the palace, I can get some from the Sultan."
Aladdin,Proprietor,"Do you know what the penalty is for stealing? (He takes her hand and pins it down on the table, intending to chop it off.)"
Aladdin,Jasmine,"No, no please!"
Aladdin,Aladdin,Thank you kind sir.  I'm so glad you've found her. I've been looking all over for you.
Aladdin,Jasmine,What are you doing?
Aladdin,Aladdin,Just play along.
Aladdin,Proprietor,You know this girl?
Aladdin,Jasmine,"Sadly, yes.  She is my sister.  She's a little crazy.  (He circles his finger around his ear. She is shocked.  The PROPRIETOR grabs him by the vest.)"
Aladdin,Proprietor,She said she knows the Sultan!
Aladdin,Aladdin,"She thinks the monkey is the Sultan. (ABU is picking a pocket.  He hears this, then straightens up. JASMINE, playing along, kneels and bows to ABU.)"
Aladdin,Jasmine,"Oh, wise Sultan.  How may I serve you?"
Aladdin,Abu,"Well, blah blah blah blah."
Aladdin,Aladdin,"Tragic, isn't it?  (He leans forward, picking up another apple from the cart with his foot.) But, no harm done.  (Walks over to Jasmine.)  Now come along sis. Time to see the doctor."
Aladdin,Jasmine,"Oh, hello doctor. How are you?"
Aladdin,Aladdin,"No, no, no. Not that one. (To ABU, whose pockets are bulging.) Come on, Sultan. (ABU bows to the crowd and everything he's stolen from the cart falls out.)"
Aladdin,Proprietor,"Huh?  What is it?  (ABU picks up what he can carry, and the trio run off.) Come back here, you little thieves! (Cut to int. of JAFAR's lab.  IAGO is running on a gear in a bizarre contraption.  At the top of the contraption is a storm brewing.)"
Aladdin,Iago,"With all due respect, your rottenness, couldn't we just wait for a real storm?"
Aladdin,Jafar,"Save your breath, Iago.  Faster!  (He places the SULTAN's ring in the contraption.)"
Aladdin,Iago,"Yes, o mighty evil one. (IAGO runs faster.  A lightning bolt streaks through the ring, passing into an hourglass below.  The sands begin to swirl.)"
Aladdin,Jafar,"Ah, sands of time--reveal to me the one who can enter the cave.  (The sand in top forms the Cave of Wonders.  It falls through into a storm, but it shows ALADDIN climbing up a ladder, followed by JASMINE who is covered in her cloak.) Yes, yes! There he is.  My diamond in the rough!"
Aladdin,Iago,That's him?!?!   That's the clown we've been waitin' for? (IAGO loses his footing and is sucked into the gears.)
Aladdin,Jafar,"Let's have the guards extend him an invitation to the palace, shall we?"
Aladdin,Iago,"Swell. (JAFAR laughs hideously, and the camera zooms in on the sandstorm with ALADDIN in it.  Finally, we dissolve into the real ALADDIN climbing to the top of the ladder, followed by JASMINE.)"
Aladdin,Aladdin,"Almost there. (JASMINE climbs over the top, but trips and falls into ALADDIN's arms. She stands up.)"
Aladdin,Jasmine,I want to thank you for stopping that man.
Aladdin,Aladdin,"Uh, forget it.    So, uh, this is your first time in the marketplace, huh?"
Aladdin,Jasmine,Is it that obvious?
Aladdin,Aladdin,"Well, you do kinda stand out.  (He stares at her, still in love.  She returns the look.  But he realizes what he is doing, and returns to normal.) I mean, uh, you don't seem to know how dangerous Agrabah can be. (He lays a plank between the buildings for her to walk over, but as he is leaned down, she vaults over his head.  He looks back in surprise.  She tosses the pole to him.  Both ALADDIN's and ABU's eyes bulge.)"
Aladdin,Jasmine,I'm a fast learner.
Aladdin,Aladdin,"Right.  C'mon, this way.  (They go inside the roof of a building, dodging planks and beams as they go.)  Whoa.  Watch your head there.  Be careful."
Aladdin,Jasmine,Is this where you live?
Aladdin,Aladdin,Yep.  Just me and Abu.  Come and go as we please.
Aladdin,Jasmine,Fabulous.
Aladdin,Aladdin,"Well, it's not much, (he pulls back the curtain and exposes the palace) but it's got a great view. Palace looks pretty amazing, huh?"
Aladdin,Jasmine,"Oh, it's wonderful."
Aladdin,Aladdin,"I wonder what it would be like to live there, to have servants and valets..."
Aladdin,Jasmine,"Oh, sure.   People who tell you where to go and how to dress."
Aladdin,Aladdin,It's better than here.  Always scraping for food and ducking the guards.
Aladdin,Jasmine,You're not free to make your own choices.
Aladdin,Aladdin,Sometimes you feel so--
Aladdin,Jasmine,You're just--
Aladdin,Both,"--trapped. (They look at each other, realizing that they're perfect for one another.  But ALADDIN then realizes where he is, and breaks the look.  He takesthe apple out of ABU's hand and rolls it down his arm into the hand of JASMINE.)"
Aladdin,Aladdin,"So, where're you from?"
Aladdin,Jasmine,"What does it matter?  I ran away, and I am not going back."
Aladdin,Aladdin,"Really?  (He takes a bite from the apple in his hand, then hands it to ABU, who has a disgusted look on his face.)"
Aladdin,Abu,Why you!
Aladdin,Jasmine,My father's forcing me to get married.
Aladdin,Aladdin,That's--that's awful.  (ABU appears from behind the princess and tries to steal the apple.) Abu!
Aladdin,Jasmine,What?
Aladdin,Aladdin,Abu says that--uh--that's not fair.
Aladdin,Abu,What?
Aladdin,Jasmine,Oh did he?
Aladdin,Aladdin,"Yeah, of course."
Aladdin,Jasmine,And does Abu have anything else to say?
Aladdin,Aladdin,"Well, uh, he wishes there was something he could do to help."
Aladdin,Abu,"Oh, boy!"
Aladdin,Jasmine,"Hmm, tell him that's very sweet. (ALADDIN and JASMINE have been getting closer and closer, until ALADDIN leans in to kiss her.  He is interrupted, however, by the GUARDS, who have found them.)"
Aladdin,Guard,Here you are!
Aladdin,Aladdin And Jasmine,They've found me!   They're after you?
Aladdin,Jasmine,My father must have sent them--
Aladdin,Aladdin,Do you trust me?
Aladdin,Jasmine,What?
Aladdin,Aladdin,Do you trust me?
Aladdin,Jasmine,Yes.
Aladdin,Aladdin,"Then jump! (They both jump off the roof, fall and land in a pile of salt.  They try to get away, but the exit is blocked by a GUARD.)"
Aladdin,Guard,"We just keep running into each other, don't we, street rat? (Again, the GUARD's turban is pulled down by ABU, but more guards are here and block the exit.  The first GUARD pulls ABU off his head and throws him in a vase.  Three other GUARDS grab ALADDIN.)"
Aladdin,Guard,"It's the dungeon for you, boy."
Aladdin,Aladdin,"Hey, get off of me!"
Aladdin,Jasmine,Let go of him.
Aladdin,Guard,"Look what we have here, men--a street mouse.  (He throws her down.)"
Aladdin,Guard,Princess Jasmine.
Aladdin,Aladdin,The princess?
Aladdin,Abu,The princess?
Aladdin,Guard,What are you doing outside the palace?  And with this street rat?
Aladdin,Jasmine,That's not your concern.  Do as I command.  Release him!
Aladdin,Guard,"Well, I would, princess, but my orders come from Jafar.  You'll have to take it up with him."
Aladdin,Jasmine,"Believe me, I will. (Cut to int. of palace, JAFAR emerging from his secret chambers.  He slides the door shut carefully, but the princess comes storming in before he is finished.  He slams it shut, pinning IAGO inside the door frame.)"
Aladdin,Jasmine,Jafar?
Aladdin,Jafar,"Oh, uh, princess."
Aladdin,Iago,"Awk! Jafar, I'm stuck!"
Aladdin,Jafar,"How may I be of service to you? (He spreads out his cape, hiding the door.)"
Aladdin,Jasmine,"The guards just took a boy from the market, on your orders."
Aladdin,Jafar,Your father's charged me with keeping peace in Agrabah.  The boy was a criminal.
Aladdin,Jasmine,What was the crime?
Aladdin,Iago,"I can't breathe, Jafar!"
Aladdin,Jafar,"Why, kidnapping the princess, of course."
Aladdin,Iago,"If you could just--(JAFAR kicks him back inside the door and it slams shut)--wow, that hurt!"
Aladdin,Jasmine,He didn't kidnap me! I ran away!
Aladdin,Jafar,"Oh, dear!  Oh, why frightfully upsetting.  Had I but known."
Aladdin,Jasmine,What do you mean?
Aladdin,Jafar,"Sadly, the boy's sentence has already been carried out."
Aladdin,Jasmine,What sentence?
Aladdin,Jafar,Death. By beheading.
Aladdin,Jasmine,No!
Aladdin,Jafar,"I am exceedingly sorry, princess."
Aladdin,Jasmine,"How could you? (IAGO finally makes it out through the door.  He flies up and lands on JAFAR's shoulder, coughing.)"
Aladdin,Iago,"So, how did  it go?"
Aladdin,Jafar,"I think she took it rather well.  (They both get a sinister smile on their faces.) (Diss. to JASMINE at night, crying at the edge of the fountain.  RAJAH comes over to comfort her.  She pets him.)"
Aladdin,Jasmine,"It's all my fault, Rajah.  I didn't even know his name. (Cut to int. of dungeon.  Rats scurry by, and we descend until we see ALADDIN chained to the wall.)"
Aladdin,Aladdin,She was the princess.  I don't believe it.  I must have sounded so stupid to her.
Aladdin,Abu,Yoo-hoo!  Aladdin? Hello!
Aladdin,Aladdin,"Abu!  Down here!  Hey, c'mon--help me outta these. (ABU stops, then begins chattering wildly, dropping to the ground.  He wraps a cloth around his head and makes his eyes big in an imitation of the princess.)"
Aladdin,Aladdin,"Hey, she was in trouble.  Ah, she was worth it. (ABU jumps up on ALADDIN's shoulders and pulls a small set of tools out of his pocket, then frees ALADDIN.)"
Aladdin,Abu,"Yeah, yeah, yeah."
Aladdin,Aladdin,"Don't worry, Abu.  I'll never see her again.  I'm a street rat, remember, and there's a law. She's gotta marry a prince, she deserves it."
Aladdin,Abu,Ta da!
Aladdin,Aladdin,I'm a--I'm a fool
Aladdin,Old Man,"You're only a fool if you give up, boy. (We see an OLD MAN sitting in the corner that neither ALADDIN nor ABU have seen before.)"
Aladdin,Aladdin,Who are you?
Aladdin,Old Man,"A lowly prisoner, like yourself.  But together, perhaps we can be more."
Aladdin,Aladdin,I'm listening.
Aladdin,Old Man,"There is a cave, boy.  A cave of wonders.  Filled with treasures beyond your wildest dreams. Treasure enough to impress even your princess, I'd wager. (Listeners will note that the OLD MAN pronounced the word 'princess' as ""prin-CESS"" rather than the standard pronunciation of ""PRIN-cess.""   The OLD MAN turns his back, and IAGO sticks his head out of JAFAR's ""old man"" disguise.)"
Aladdin,Iago,"Jafar, can ya hurry it up?  I'm dyin' in here!"
Aladdin,Aladdin,But the law says that only a prince can marry--
Aladdin,Old Man,"You've heard of the golden rule, haven't you boy? Whoever has the gold makes the rules.(He grins, showing a hideously bad mouth.)"
Aladdin,Aladdin,So why would you share all of this wonderful treasure with me?
Aladdin,Old Man,I need a young man with strong legs and a strong back to go in after it.
Aladdin,Aladdin,"Ah, one problem.  It's out there, we're in here?"
Aladdin,Old Man,"Mmm, mmm, mmm.,  Things aren't always what they seem.  So, do we have a deal?"
Aladdin,Abu,"Oh, hmm. (Cut to desert scene.  We see ALADDIN leading a horse with the OLD MAN and ABU on it.  Diss. to cave of wonders.)"
Aladdin,Cave,Who disturbs my slumber?
Aladdin,Aladdin,"It is I, Aladdin."
Aladdin,Cave,"Proceed.  Touch nothing but the lamp. (The cave opens up with a roar, and a staircase appears in front of ALADDIN. )"
Aladdin,Old Man,"Remember, boy--first fetch me the lamp, and then you shall have your reward."
Aladdin,Aladdin,"C'mon, Abu.  (to ABU hiding under the shoulder of his vest.) (ALADDIN begins to descend the staircase.  He reaches the bottom and enters a golden chamber filled with treasure.)"
Aladdin,Aladdin,Would ya look at that!
Aladdin,Abu,Uh oh!
Aladdin,Aladdin,Just a handful of this stuff would make me richer than the sultan!
Aladdin,Aladdin,Abu!
Aladdin,Aladdin,Don't...touch...anything!  We gotta find that lamp. (They begin to make their way through the room when the CARPET rises off the floor and begins following them.  ABU gets the feeling they're being followed.)
Aladdin,Abu,"Huh? (He turns, and the CARPET lies flat on the floor.  He continues, and the CARPET begins to follow again.  Again, ABU turns back, but the CARPET is rolled up and leaning against a pile of treasure. ABU runs to ALADDIN and tugs his pant leg.)"
Aladdin,Abu,Aladdin!  Aladdin!
Aladdin,Aladdin,"Abu, will ya knock it off? (Again the CARPET follows, but this time, when ABU turns, the carpet jumps to the other side.  It reaches down with a tassel and pulls ABU's tail.  When ABU jumps around, CARPET again goes to the other side.  This time, ABU lands in a karate stance.  CARPET reaches down and plucks ABU's hat off, then puts it on himself.  ABU sits thinking for a second, until CARPET waves a tassel in front of his face.  ABU and CARPET both jump scared, and run away.  ABU tackles ALADDIN and turns his head to look at the CARPET.)"
Aladdin,Aladdin,"Abu, what are you--crazy?"
Aladdin,Aladdin,"A magic carpet!  C'mon.  C'mon out.  I'm not gonna hurt you. (The CARPET slowly comes out, shyly, then picks up ABU's hat and dusts it off.  It flies over to ALADDIN and hands the hat to ABU next to him.  ABU screeches, and jumps onto ALADDIN's shoulder.)"
