Character,Gender,Race/Ethnicity,Culture,Role,Marginalized,POC,Dialogue,Cleaned Dialogue
Abuelita,Female,Latino,Mexican,Supporting,False,True,You leave my grandson alone!,You leave my grandson alone!
Mariachi,Male,Latino,Mexican,Supporting,True,True,"Do a, please -- I was just getting a shine!","Do a, please -- I was just getting a shine!"
Abuelita,Female,Latino,Mexican,Supporting,False,True,"I know your tricks, mariachi! (to Miguel) What did he say to you?","I know your tricks, mariachi!  What did he say to you?"
Miguel,Male,Latino,Mexican,Protagonist,False,True,He was just showing me his Gasps from the family.,He was just showing me his Gasps from the family.
Tio Berto,Male,Latino,Mexican,Supporting,False,True,"Shame on you! Abuelita lords over the mariachi, shoe aimed directly between his eyes.","Shame on you! Abuelita lords over the mariachi, shoe aimed directly between his eyes."
Abuelita,Female,Latino,Mexican,Supporting,False,True,"My grandson is a sweet little angelito querido cielito -- he wants no part of your music, The mariachi scrambles away, snatching his hat off the her bosom.","My grandson is a sweet little angelito querido cielito -- he wants no part of your music, The mariachi scrambles away, snatching his hat off the her bosom."
Abuelita,Female,Latino,Mexican,Supporting,False,True,She peppers him with kisses then releases him from the,She peppers him with kisses then releases him from the
Abuelita,Female,Latino,Mexican,Supporting,False,True,(distressed) You know better than to be here in Now. 13. Miguel catches up to his family.,You know better than to be here in Now. 13. Miguel catches up to his family.
Tio Berto,Male,Latino,Mexican,Supporting,False,True,How many times have we told you -- that plaza is crawling with mariachis!,How many times have we told you -- that plaza is crawling with mariachis!
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Yes, T o Berto. Dante ambles up to Miguel, sniffing and whining for a treat.","Yes, T o Berto. Dante ambles up to Miguel, sniffing and whining for a treat."
Miguel,Male,Latino,Mexican,Protagonist,False,True,"No, no, no! Abuelita shoos him away.","No, no, no! Abuelita shoos him away."
Abuelita,Female,Latino,Mexican,Supporting,False,True,"Dante darts off, scared.","Dante darts off, scared."
Miguel,Male,Latino,Mexican,Protagonist,False,True,Abuelita throws her shoe at the dog.,Abuelita throws her shoe at the dog.
Abuelita,Female,Latino,Mexican,Supporting,False,True,"follow you forever. (beat) Now, go get my shoe. CUT TO: The Rivera workshop is abuzz with family making shoes.","follow you forever.  Now, go get my shoe. CUT TO: The Rivera workshop is abuzz with family making shoes."
Abuelita,Female,Latino,Mexican,Supporting,False,True,I found your son in Mariachi Plaza!,I found your son in Mariachi Plaza!
Miguel,Male,Latino,Mexican,Protagonist,False,True,I was just shining shoes!,I was just shining shoes!
Tio Berto,Male,Latino,Mexican,Supporting,False,True,"A musician's shoes! loses his grip on the shoe he is polishing, which zips away from the polisher and lodges itself in the roof.","A musician's shoes! loses his grip on the shoe he is polishing, which zips away from the polisher and lodges itself in the roof."
Miguel,Male,Latino,Mexican,Protagonist,False,True,But the plaza's where all the foot traffic is.,But the plaza's where all the foot traffic is.
Miguel,Male,Latino,Mexican,Protagonist,False,True,(blurting) But what about tonight?,But what about tonight?
Miguel,Male,Latino,Mexican,Protagonist,False,True,Well they're having this talent show- whether to go on.,Well they are having this talent show- whether to go on.
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Mam  looks at Miguel, curious.","Mam  looks at Miguel, curious."
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Well, maybe?","Well, maybe?"
Abuelita,Female,Latino,Mexican,Supporting,False,True,It's D a de los Muertos -- no one's family. She deposits a pile of marigolds in Miguel's arms.,It is D a de los Muertos -- no one's family. She deposits a pile of marigolds in Miguel's arms.
Abuelita,Female,Latino,Mexican,Supporting,False,True,"CUT TO: Miguel follows his Abuelita to the family ofrenda, holding the pile of flowers as she arranges them on the altar.","CUT TO: Miguel follows his Abuelita to the family ofrenda, holding the pile of flowers as she arranges them on the altar."
Abuelita,Female,Latino,Mexican,Supporting,False,True,"los Muertos is the one night of the year our ancestors can come visit us. (beat) We've put their photos on the ofrenda so their spirits can cross we don't put them up, they can't come! (beat) We made all this food -- set out the things they loved in life, sneaking off to who-knows-where. She looks up to find Miguel sneaking away.","los Muertos is the one night of the year our ancestors can come visit us.  We have put their photos on the ofrenda so their spirits can cross we do not put them up, they cannot come!  We made all this food -- set out the things they loved in life, sneaking off to who-knows-where. She looks up to find Miguel sneaking away."
Abuelita,Female,Latino,Mexican,Supporting,False,True,Where are you going?,Where are you going?
Miguel,Male,Latino,Mexican,Protagonist,False,True,16.,16.
Abuelita,Female,Latino,Mexican,Supporting,False,True,family means being HERE for this end up like-- Abuelita looks up to the photo of the faceless musician.,family means being HERE for this end up like-- Abuelita looks up to the photo of the faceless musician.
Miguel,Male,Latino,Mexican,Protagonist,False,True,Like Mam  Coco's pap ?,Like Mam  Coco's pap ?
Abuelita,Female,Latino,Mexican,Supporting,False,True,better off forgotten.,better off forgotten.
Miguel,Male,Latino,Mexican,Protagonist,False,True,But you're the one who--,But you are the one who--
Abuelita,Female,Latino,Mexican,Supporting,False,True,"Ta, ta, ta-tch!","Ta, ta, ta-tch!"
Miguel,Male,Latino,Mexican,Protagonist,False,True,I was just--,I was just--
Abuelita,Female,Latino,Mexican,Supporting,False,True,Tch-tch!,Tch-tch!
Miguel,Male,Latino,Mexican,Protagonist,False,True,But--,But--
Abuelita,Female,Latino,Mexican,Supporting,False,True,Tch!,Tch!
Miguel,Male,Latino,Mexican,Protagonist,False,True,I--,I--
Abuelita,Female,Latino,Mexican,Supporting,False,True,Tch-tch!,Tch-tch!
Mama Coco,Female,Latino,Mexican,Supporting,False,True,Pap ? They look to find Mam  Coco agitated.,Pap ? They look to find Mam  Coco agitated.
Abuelita,Female,Latino,Mexican,Supporting,False,True,"Mam , c lmese, c lmese.","Mam , c lmese, c lmese."
Mama Coco,Female,Latino,Mexican,Supporting,False,True,Pap  is coming home? 17.,Pap  is coming home? 17.
Abuelita,Female,Latino,Mexican,Supporting,False,True,Mam  Coco looks up at Abuelita.,Mam  Coco looks up at Abuelita.
Mama Coco,Female,Latino,Mexican,Supporting,False,True,Who are you? Sadness rises in Abuelita; she swallows it down.,Who are you? Sadness rises in Abuelita; she swallows it down.
Abuelita,Female,Latino,Mexican,Supporting,False,True,"Rest, Mam . Abuelita returns to the ofrenda.","Rest, Mam . Abuelita returns to the ofrenda."
Abuelita,Female,Latino,Mexican,Supporting,False,True,"I'm hard on you because I care, Miguel. (beat) Abuelita steps up to the ofrenda.","I am hard on you because I care, Miguel.  Abuelita steps up to the ofrenda."
Abuelita,Female,Latino,Mexican,Supporting,False,True,(sigh) What are we going to do with that brighten with an idea.,What are we going to do with that brighten with an idea.
Abuelita,Female,Latino,Mexican,Supporting,False,True,needs! CUT TO: He reaches a shoe sign advertising the Rivera Family business and lifts it up. 18.,needs! CUT TO: He reaches a shoe sign advertising the Rivera Family business and lifts it up. 18.
Miguel,Male,Latino,Mexican,Protagonist,False,True,"You're gonna get me in trouble, Miguel reveals a makeshift guitar, cobbled together from a beat up old soundboard and random other items. He takes a china marker and sketches a nose on what appears to be his own version of a skull guitar head.","You are going to get me in trouble, Miguel reveals a makeshift guitar, cobbled together from a beat up old soundboard and random other items. He takes a china marker and sketches a nose on what appears to be his own version of a skull guitar head."
Miguel,Male,Latino,Mexican,Protagonist,False,True,Miguel tunes the guitar.,Miguel tunes the guitar.
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Perfecto! He crawls to the far side of the attic where he's built his with reverence, illuminating an album cover of de la Cruz holding his skull guitar. Miguel compares the head of his guitar to the album cover. Then he imitates de la Cruz's pose and smile. He switches on a beat up old TV and pushes a tape into the VCR, ""Best of de la Cruz"" scrawled on the spine. A montage of the greatest moments from de la Cruz's films plays out. A clip from ""A QUIEN YO AMO:""","Perfecto! He crawls to the far side of the attic where he is built his with reverence, illuminating an album cover of de la Cruz holding his skull guitar. Miguel compares the head of his guitar to the album cover. Then he imitates de la Cruz's pose and smile. He switches on a beat up old TV and pushes a tape into the VCR, ""Best of de la Cruz"" scrawled on the spine. A montage of the greatest moments from de la Cruz's films plays out. A clip from ""A QUIEN YO AMO:"""
Ernesto De La Cruz,Male,Latino,Mexican,Antagonist,False,True,"The music, it's -- it's not just in 19. Miguel strums his guitar as de la Cruz imparts his wisdom. More clips run in the background as Miguel plays:","The music, it is -- it is not just in 19. Miguel strums his guitar as de la Cruz imparts his wisdom. More clips run in the background as Miguel plays:"
Ernesto De La Cruz,Male,Latino,Mexican,Antagonist,False,True,"When life gets me down, I play my guitar. In a clip from ""A QUIEN YO AMO:""","When life gets me down, I play my guitar. In a clip from ""A QUIEN YO AMO:"""
Ernesto De La Cruz,Male,Latino,Mexican,Antagonist,False,True,"The rest of the world may follow the rules, but I must follow my heart! Another clip from ""A QUIEN YO AMO:""","The rest of the world may follow the rules, but I must follow my heart! Another clip from ""A QUIEN YO AMO:"""
Ernesto De La Cruz,Male,Latino,Mexican,Antagonist,False,True,"there's a song in the air and it's As Miguel watches de la Cruz play guitar in the video, he repeats the melody on his own guitar.","there is a song in the air and it is As Miguel watches de la Cruz play guitar in the video, he repeats the melody on his own guitar."
Ernesto De La Cruz,Male,Latino,Mexican,Antagonist,False,True,"You must have faith, sister.","You must have faith, sister."
Ernesto De La Cruz,Male,Latino,Mexican,Antagonist,False,True,Never underestimate the power of Miguel's tune intertwines with the melodies on the TV set. The clip jumps forward:,Never underestimate the power of Miguel's tune intertwines with the melodies on the TV set. The clip jumps forward:
Ernesto De La Cruz,Male,Latino,Mexican,Antagonist,False,True,"you see your moment you mustn't let it pass you by, you must seize it! The tape ends with an interview clip.","you see your moment you must not let it pass you by, you must seize it! The tape ends with an interview clip."
Ernesto De La Cruz,Male,Latino,Mexican,Antagonist,False,True,"I had to have faith in my dream. No one was going to hand it to me. It was up to me to reach for that dream, grab it tight, and make it come true.","I had to have faith in my dream. No one was going to hand it to me. It was up to me to reach for that dream, grab it tight, and make it come true."
Miguel,Male,Latino,Mexican,Protagonist,False,True,"seize my moment! Dante wags his tail, panting happily.","seize my moment! Dante wags his tail, panting happily."
Miguel,Male,Latino,Mexican,Protagonist,False,True,I'm gonna play in Mariachi Plaza if it kills me! CUT TO: Children run by with sparklers as Abuelita opens the doors to the family compound. 21.,I am going to play in Mariachi Plaza if it kills me! CUT TO: Children run by with sparklers as Abuelita opens the doors to the family compound. 21.
Abuelita,Female,Latino,Mexican,Supporting,False,True,"D a de los Muertos has begun! In the courtyard, two TODDLER COUSINS haphazardly scatter marigold petals from their baskets.","D a de los Muertos has begun! In the courtyard, two TODDLER COUSINS haphazardly scatter marigold petals from their baskets."
Abuelita,Female,Latino,Mexican,Supporting,False,True,"In the courtyard, mijos.","In the courtyard, mijos."
Abuelita,Female,Latino,Mexican,Supporting,False,True,Miguel backs out of the courtyard and into the family ofrenda table. 22.,Miguel backs out of the courtyard and into the family ofrenda table. 22.
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Get under, get under!","Get under, get under!"
Abuelita,Female,Latino,Mexican,Supporting,False,True,Miguel! Miguel straightens up to notice the doorway of the ofrenda room darkened by three figures.,Miguel! Miguel straightens up to notice the doorway of the ofrenda room darkened by three figures.
Miguel,Male,Latino,Mexican,Protagonist,False,True,Nothing! in his stomach; he's been caught.,Nothing! in his stomach; he is been caught.
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Mam  -- Pap , I-- Pap  lifts his finger to silence his son.","Mam  -- Pap , I-- Pap  lifts his finger to silence his son."
Abuelita,Female,Latino,Mexican,Supporting,False,True,Our Migueli-ti-ti-ti-to carrying on will be so proud! She gestures to the shoes adorning the ofrenda. 23.,Our Migueli-ti-ti-ti-to carrying on will be so proud! She gestures to the shoes adorning the ofrenda. 23.
Abuelita,Female,Latino,Mexican,Supporting,False,True,You'll craft huaraches just like your T a Victoria.,You will craft huaraches just like your T a Victoria.
Miguel,Male,Latino,Mexican,Protagonist,False,True,But what if I'm no good at making shoes?,But what if I am no good at making shoes?
Miguel,Male,Latino,Mexican,Protagonist,False,True,through. Pap  swells.,through. Pap  swells.
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Miguel pulls the dog away from the ofrenda, but the table forth, then topples to the ground with a sickening crack.","Miguel pulls the dog away from the ofrenda, but the table forth, then topples to the ground with a sickening crack."
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Miguel picks up the old photo of Mam  Imelda, which unfolds to reveal another portion, hidden all these years; 24. the man with no face is revealed to be holding a familiar skull-headed guitar.","Miguel picks up the old photo of Mam  Imelda, which unfolds to reveal another portion, hidden all these years; 24. the man with no face is revealed to be holding a familiar skull-headed guitar."
Mama Coco,Female,Latino,Mexican,Supporting,False,True,Pap ? the picture in his hand.,Pap ? the picture in his hand.
Mama Coco,Female,Latino,Mexican,Supporting,False,True,Pap ? it possibly be true?,Pap ? it possibly be true?
Miguel,Male,Latino,Mexican,Protagonist,False,True,de la Cruz?,de la Cruz?
Mama Coco,Female,Latino,Mexican,Supporting,False,True,"CUT TO: Miguel goes to his secret ofrenda, to the record album of","CUT TO: Miguel goes to his secret ofrenda, to the record album of"
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Ha, ha! Miguel runs to the edge of the roof, overlooking the courtyard, photo in one hand, guitar in the other.","Ha, ha! Miguel runs to the edge of the roof, overlooking the courtyard, photo in one hand, guitar in the other."
Miguel,Male,Latino,Mexican,Protagonist,False,True,"His parents stop, looking up at Miguel.","His parents stop, looking up at Miguel."
Miguel,Male,Latino,Mexican,Protagonist,False,True,great grandfather was! 25.,great grandfather was! 25.
Miguel,Male,Latino,Mexican,Protagonist,False,True,Mam  Coco's father was Ernesto de la Cruz!,Mam  Coco's father was Ernesto de la Cruz!
Miguel,Male,Latino,Mexican,Protagonist,False,True,"I'm gonna be a musician! CUT TO: Miguel's guitar is cast at his feet, along with his de la","I am going to be a musician! CUT TO: Miguel's guitar is cast at his feet, along with his de la"
Abuelita,Female,Latino,Mexican,Supporting,False,True,from your own family?,from your own family?
Tio Berto,Male,Latino,Mexican,Supporting,False,True,It's all that time he spends in the,It is all that time he spends in the
Miguel,Male,Latino,Mexican,Protagonist,False,True,It's not a fantasy! Miguel hands Pap  the photo and points to the skull guitar.,It is not a fantasy! Miguel hands Pap  the photo and points to the skull guitar.
Miguel,Male,Latino,Mexican,Protagonist,False,True,That man was Ernesto de la Cruz! The greatest musician of all time!,That man was Ernesto de la Cruz! The greatest musician of all time!
Miguel,Male,Latino,Mexican,Protagonist,False,True,"But Pap , you said my family would music!","But Pap , you said my family would music!"
Miguel,Male,Latino,Mexican,Protagonist,False,True,If you would just let--,If you would just let--
Miguel,Male,Latino,Mexican,Protagonist,False,True,Just listen to me play--,Just listen to me play--
Abuelita,Female,Latino,Mexican,Supporting,False,True,You want to end up like that man?,You want to end up like that man?
Miguel,Male,Latino,Mexican,Protagonist,False,True,I don't care if I'm on some stupid ofrenda! the guitar in the air.,I do not care if I am on some stupid ofrenda! the guitar in the air.
Miguel,Male,Latino,Mexican,Protagonist,False,True,No!,No!
Abuelita,Female,Latino,Mexican,Supporting,False,True,(softening) (MORE) 27.,27.
