Character,Gender,Race/Ethnicity,Culture,Role,Marginalized,POC,Dialogue,Cleaned Dialogue,Sentiment Scores,Compound Score,Sentiment
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Then her grandkids got roped in. As her family grew, so did the business. In the next vignette, a bunch of goofy grandchildren join in 3.","Then her grandkids got roped in. As her family grew, so did the business. In the next vignette, a bunch of goofy grandchildren join in 3.","{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.296}",0.296,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Music had torn her family apart, but shoes held them all together. (beat) You see, that woman was my great- great grandmother, Mam  Imelda. TILT DOWN from the papel picado to the OFRENDA ROOM - DAY face has been torn away.","Music had torn her family apart, but shoes held them all together.  You see, that woman was my great- great grandmother, Mam  Imelda. TILT DOWN from the papel picado to the OFRENDA ROOM - DAY face has been torn away.","{'neg': 0.08, 'neu': 0.696, 'pos': 0.225, 'compound': 0.8834}",0.8834,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,"She died WAY before I was born. But my family still tells her story every year on D a de los Muertos -- (beat) And her little girl? Fade from the face of the little girl to present day MAM COCO (97), a living raisin, convalescing in a wicker wheelchair.","She died WAY before I was born. But my family still tells her story every year on D a de los Muertos --  And her little girl? Fade from the face of the little girl to present day MAM COCO , a living raisin, convalescing in a wicker wheelchair.","{'neg': 0.052, 'neu': 0.948, 'pos': 0.0, 'compound': -0.3182}",-0.3182,Negative 😡
Miguel,Male,Latino,Mexican,Protagonist,False,True,"She's my great grandmother, Mam Coco. A boy (12) walks into frame and kisses her on the cheek. This is our narrator, MIGUEL.","She is my great grandmother, Mam Coco. A boy  walks into frame and kisses her on the cheek. This is our narrator, MIGUEL.","{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.8126}",0.8126,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Hol , Mam  Coco.","Hol , Mam  Coco.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Mama Coco,Female,Latino,Mexican,Supporting,False,True,"How are you, Julio?","How are you, Julio?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,Coco has trouble remembering much everything. QUICK CUTS of Miguel with Mam  Coco: 4.,Coco has trouble remembering much everything. QUICK CUTS of Miguel with Mam  Coco: 4.,"{'neg': 0.319, 'neu': 0.681, 'pos': 0.0, 'compound': -0.6841}",-0.6841,Negative 😡
Miguel,Male,Latino,Mexican,Protagonist,False,True,switches to flat palms.,switches to flat palms.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,"But now I run like this which is way faster! CUT TO: Miguel, in a luchador mask, climbs onto the bed, arms raised.","But now I run like this which is way faster! CUT TO: Miguel, in a luchador mask, climbs onto the bed, arms raised.","{'neg': 0.154, 'neu': 0.723, 'pos': 0.124, 'compound': -0.2002}",-0.2002,Negative 😡
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Coco! Miguel leaps off the bed onto a pile of pillows that bursts, sending feathers onto Mam  Coco who wears a mask of her own. CUT TO: Miguel leans toward Mam  Coco at the dinner table.","Coco! Miguel leaps off the bed onto a pile of pillows that bursts, sending feathers onto Mam  Coco who wears a mask of her own. CUT TO: Miguel leans toward Mam  Coco at the dinner table.","{'neg': 0.087, 'neu': 0.913, 'pos': 0.0, 'compound': -0.481}",-0.481,Negative 😡
Miguel,Male,Latino,Mexican,Protagonist,False,True,"I have a dimple on this side, but","I have a dimple on this side, but","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Abuelita,Female,Latino,Mexican,Supporting,False,True,Miguel's ABUELITA (70s) runs the table like a ship captain. She gives Mam  Coco a kiss on the head.,Miguel's ABUELITA  runs the table like a ship captain. She gives Mam  Coco a kiss on the head.,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.6486}",0.6486,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,daughter. Abuelita piles extra tamales on Miguel's plate.,daughter. Abuelita piles extra tamales on Miguel's plate.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Abuelita,Female,Latino,Mexican,Supporting,False,True,more. 5.,more. 5.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,"No, gracias.","No, gracias.","{'neg': 0.688, 'neu': 0.312, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative 😡
Abuelita,Female,Latino,Mexican,Supporting,False,True,I asked if you would like more tamales.,I asked if you would like more tamales.,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}",0.3612,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,S-s ?,S-s ?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Abuelita,Female,Latino,Mexican,Supporting,False,True,That's what I THOUGHT you said.,That is what I THOUGHT you said.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,Abuelita runs our house just like Mam  Imelda did. CUT TO: she perks her ear at a hooting sound. the bottle away.,Abuelita runs our house just like Mam  Imelda did. CUT TO: she perks her ear at a hooting sound. the bottle away.,"{'neg': 0.116, 'neu': 0.781, 'pos': 0.103, 'compound': -0.0857}",-0.0857,Negative 😡
Abuelita,Female,Latino,Mexican,Supporting,False,True,"No music! Miguel listens as a truck drives by the window, blaring radio","No music! Miguel listens as a truck drives by the window, blaring radio","{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.3595}",-0.3595,Negative 😡
Abuelita,Female,Latino,Mexican,Supporting,False,True,A trio of gentlemen serenade each other as they stroll by the family compound.,A trio of gentlemen serenade each other as they stroll by the family compound.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Abuelita,Female,Latino,Mexican,Supporting,False,True,"Terrified, the musicians stumble as they run away.","Terrified, the musicians stumble as they run away.","{'neg': 0.364, 'neu': 0.636, 'pos': 0.0, 'compound': -0.6124}",-0.6124,Negative 😡
Miguel,Male,Latino,Mexican,Protagonist,False,True,"I think we're the only family in We see the Rivera family tinkering in the shoe shop, no music","I think we are the only family in We see the Rivera family tinkering in the shoe shop, no music","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative 😡
Miguel,Male,Latino,Mexican,Protagonist,False,True,"He grabs his shine box, and heads out of the shoe shop.","He grabs his shine box, and heads out of the shoe shop.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,But me?,But me?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Love you, Mam ! Once outside, Miguel makes his way through the small town of SANTA CECILIA - MORNING","Love you, Mam ! Once outside, Miguel makes his way through the small town of SANTA CECILIA - MORNING","{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.6696}",0.6696,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,I am NOT like the rest of my He passes a woman sweeping a stoop.,I am NOT like the rest of my He passes a woman sweeping a stoop.,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.2755}",-0.2755,Negative 😡
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Hola! with some air guitar and the further down the street he goes, church chime in harmony, a radio blares a cumbia rhythm. 7. Running past a food stand, Miguel grabs a roll of pan dulce and tosses the vendor a coin.","Hola! with some air guitar and the further down the street he goes, church chime in harmony, a radio blares a cumbia rhythm. 7. Running past a food stand, Miguel grabs a roll of pan dulce and tosses the vendor a coin.","{'neg': 0.0, 'neu': 0.923, 'pos': 0.077, 'compound': 0.4574}",0.4574,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,Muchas gracias!,Muchas gracias!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,Miguel holds the pan dulce over Dante's head.,Miguel holds the pan dulce over Dante's head.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,Fist bump. Dante obeys to the best of his ability.,Fist bump. Dante obeys to the best of his ability.,"{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.7579}",0.7579,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Good boy, Dante! Miguel tosses the pan dulce to his furless friend who topples back into the trash can. CUT TO: MARIACHI PLAZA - MOMENTS LATER sell sugar skulls and marigolds, and musicians fill the square with music.","Good boy, Dante! Miguel tosses the pan dulce to his furless friend who topples back into the trash can. CUT TO: MARIACHI PLAZA - MOMENTS LATER sell sugar skulls and marigolds, and musicians fill the square with music.","{'neg': 0.066, 'neu': 0.787, 'pos': 0.148, 'compound': 0.5513}",0.5513,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,I know I'm not supposed to love music -- but it's not my fault! (beat) Miguel approaches a statue of a handsome mariachi at the heart of the plaza. 8.,I know I am not supposed to love music -- but it is not my fault!  Miguel approaches a statue of a handsome mariachi at the heart of the plaza. 8.,"{'neg': 0.065, 'neu': 0.713, 'pos': 0.222, 'compound': 0.7427}",0.7427,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,time. A tour group and their TOUR GUIDE are gathered around the base of the statue.,time. A tour group and their TOUR GUIDE are gathered around the base of the statue.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,"He started out a total nobody from he played music, he made people fall in love with him. guitar with flourish and flair.","He started out a total nobody from he played music, he made people fall in love with him. guitar with flourish and flair.","{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.765}",0.765,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,"A CLIP features de la Cruz dressed as a hovering priest, held up by strings, in front of a cycling sky flat.","A CLIP features de la Cruz dressed as a hovering priest, held up by strings, in front of a cycling sky flat.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,A CLIP of de la Cruz performing in a fancy nightclub.,A CLIP of de la Cruz performing in a fancy nightclub.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,"He lived the kind of life you dream As the audience swoons over de la Cruz, an absent-minded","He lived the kind of life you dream As the audience swoons over de la Cruz, an absent-minded","{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.25}",0.25,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,When he was crushed by a giant bell. CUT TO: MARIACHI PLAZA - DAY Miguel gazes up at the statue of de la Cruz in awe.,When he was crushed by a giant bell. CUT TO: MARIACHI PLAZA - DAY Miguel gazes up at the statue of de la Cruz in awe.,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.6841}",-0.6841,Negative 😡
Miguel,Male,Latino,Mexican,Protagonist,False,True,I wanna be just like him. CUT TO: Miguel weaves up to de la Cruz's mausoleum and peeks in the guitar.,I want to be just like him. CUT TO: Miguel weaves up to de la Cruz's mausoleum and peeks in the guitar.,"{'neg': 0.115, 'neu': 0.731, 'pos': 0.154, 'compound': -0.0085}",-0.0085,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Sometimes, I look at de la Cruz and could play music, maybe someday I 10.","Sometimes, I look at de la Cruz and could play music, maybe someday I 10.","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.34}",0.34,Positive 😊
Mariachi,Male,Latino,Mexican,Supporting,True,True,"(playful) Ay, ay, ay, muchacho.","Ay, ay, ay, muchacho.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,Huh?,Huh?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Mariachi,Male,Latino,Mexican,Supporting,True,True,"I asked for a shoe shine, not your life story. Miguel comes out of his reverie and looks up at the PLAZA MARIACHI whose shoes he is shining.","I asked for a shoe shine, not your life story. Miguel comes out of his reverie and looks up at the PLAZA MARIACHI whose shoes he is shining.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Oh, yeah, sorry. the mariachi plucks his guitar idly.","Oh, yeah, sorry. the mariachi plucks his guitar idly.","{'neg': 0.124, 'neu': 0.667, 'pos': 0.21, 'compound': 0.2263}",0.2263,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,I just can't really talk about any,I just cannot really talk about any,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Mariachi,Male,Latino,Mexican,Supporting,True,True,"Look, if I were you I'd march right","Look, if I were you I would march right","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Mariachi,Male,Latino,Mexican,Supporting,True,True,"You ARE a musician, no?","You ARE a musician, no?","{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative 😡
Miguel,Male,Latino,Mexican,Protagonist,False,True,really play for myself--,really play for myself--,"{'neg': 0.0, 'neu': 0.527, 'pos': 0.473, 'compound': 0.4005}",0.4005,Positive 😊
Mariachi,Male,Latino,Mexican,Supporting,True,True,"Did de la Cruz become the world's best musician by hiding his sweet, onto that plaza and he played out loud! 11.","Did de la Cruz become the world's best musician by hiding his sweet, onto that plaza and he played out loud! 11.","{'neg': 0.073, 'neu': 0.598, 'pos': 0.329, 'compound': 0.8268}",0.8268,Positive 😊
Mariachi,Male,Latino,Mexican,Supporting,True,True,up!,up!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Uh-uh, my family would freak!","Uh-uh, my family would freak!","{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.4926}",-0.4926,Negative 😡
Mariachi,Male,Latino,Mexican,Supporting,True,True,"Look, if you're too scared, then, Miguel considers this.","Look, if you are too scared, then, Miguel considers this.","{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}",-0.4404,Negative 😡
Mariachi,Male,Latino,Mexican,Supporting,True,True,say?,say?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,"The mariachi appraises Miguel, then offers his guitar.","The mariachi appraises Miguel, then offers his guitar.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Mariachi,Male,Latino,Mexican,Supporting,True,True,"Show me what you got, muchacho. I'll be your first audience. instrument, regarding it as if holding a holy relic. Miguel spreads his fingers across the strings anticipating","Show me what you got, muchacho. I will be your first audience. instrument, regarding it as if holding a holy relic. Miguel spreads his fingers across the strings anticipating","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Abuelita,Female,Latino,Mexican,Supporting,False,True,"MIGUEL! Startled, Miguel impulsively throws the guitar back onto the with supplies from the market.","MIGUEL! Startled, Miguel impulsively throws the guitar back onto the with supplies from the market.","{'neg': 0.125, 'neu': 0.875, 'pos': 0.0, 'compound': -0.2481}",-0.2481,Negative 😡
Miguel,Male,Latino,Mexican,Protagonist,False,True,Abuelita!,Abuelita!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Abuelita,Female,Latino,Mexican,Supporting,False,True,What are you doing here? 12.,What are you doing here? 12.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,Miguel quickly packs away his shine rag and polishes. Abuelita barrels up to the mariachi. She hits his hat with her shoe and waves him away.,Miguel quickly packs away his shine rag and polishes. Abuelita barrels up to the mariachi. She hits his hat with her shoe and waves him away.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Abuelita,Female,Latino,Mexican,Supporting,False,True,You leave my grandson alone!,You leave my grandson alone!,"{'neg': 0.538, 'neu': 0.462, 'pos': 0.0, 'compound': -0.3595}",-0.3595,Negative 😡
Mariachi,Male,Latino,Mexican,Supporting,True,True,"Do a, please -- I was just getting a shine!","Do a, please -- I was just getting a shine!","{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.3802}",0.3802,Positive 😊
Abuelita,Female,Latino,Mexican,Supporting,False,True,"I know your tricks, mariachi! (to Miguel) What did he say to you?","I know your tricks, mariachi!  What did he say to you?","{'neg': 0.166, 'neu': 0.834, 'pos': 0.0, 'compound': -0.2003}",-0.2003,Negative 😡
Miguel,Male,Latino,Mexican,Protagonist,False,True,He was just showing me his Gasps from the family.,He was just showing me his Gasps from the family.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Tio Berto,Male,Latino,Mexican,Supporting,False,True,"Shame on you! Abuelita lords over the mariachi, shoe aimed directly between his eyes.","Shame on you! Abuelita lords over the mariachi, shoe aimed directly between his eyes.","{'neg': 0.207, 'neu': 0.793, 'pos': 0.0, 'compound': -0.5255}",-0.5255,Negative 😡
Abuelita,Female,Latino,Mexican,Supporting,False,True,"My grandson is a sweet little angelito querido cielito -- he wants no part of your music, The mariachi scrambles away, snatching his hat off the her bosom.","My grandson is a sweet little angelito querido cielito -- he wants no part of your music, The mariachi scrambles away, snatching his hat off the her bosom.","{'neg': 0.073, 'neu': 0.828, 'pos': 0.099, 'compound': 0.2023}",0.2023,Positive 😊
Abuelita,Female,Latino,Mexican,Supporting,False,True,She peppers him with kisses then releases him from the,She peppers him with kisses then releases him from the,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.5106}",0.5106,Positive 😊
Abuelita,Female,Latino,Mexican,Supporting,False,True,(distressed) You know better than to be here in Now. 13. Miguel catches up to his family.,You know better than to be here in Now. 13. Miguel catches up to his family.,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}",0.4404,Positive 😊
Tio Berto,Male,Latino,Mexican,Supporting,False,True,How many times have we told you -- that plaza is crawling with mariachis!,How many times have we told you -- that plaza is crawling with mariachis!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Yes, T o Berto. Dante ambles up to Miguel, sniffing and whining for a treat.","Yes, T o Berto. Dante ambles up to Miguel, sniffing and whining for a treat.","{'neg': 0.117, 'neu': 0.552, 'pos': 0.331, 'compound': 0.5423}",0.5423,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,"No, no, no! Abuelita shoos him away.","No, no, no! Abuelita shoos him away.","{'neg': 0.633, 'neu': 0.367, 'pos': 0.0, 'compound': -0.7088}",-0.7088,Negative 😡
Abuelita,Female,Latino,Mexican,Supporting,False,True,"Dante darts off, scared.","Dante darts off, scared.","{'neg': 0.492, 'neu': 0.508, 'pos': 0.0, 'compound': -0.4404}",-0.4404,Negative 😡
Miguel,Male,Latino,Mexican,Protagonist,False,True,Abuelita throws her shoe at the dog.,Abuelita throws her shoe at the dog.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Abuelita,Female,Latino,Mexican,Supporting,False,True,"follow you forever. (beat) Now, go get my shoe. CUT TO: The Rivera workshop is abuzz with family making shoes.","follow you forever.  Now, go get my shoe. CUT TO: The Rivera workshop is abuzz with family making shoes.","{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.4278}",-0.4278,Negative 😡
Abuelita,Female,Latino,Mexican,Supporting,False,True,I found your son in Mariachi Plaza!,I found your son in Mariachi Plaza!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,I was just shining shoes!,I was just shining shoes!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Tio Berto,Male,Latino,Mexican,Supporting,False,True,"A musician's shoes! loses his grip on the shoe he is polishing, which zips away from the polisher and lodges itself in the roof.","A musician's shoes! loses his grip on the shoe he is polishing, which zips away from the polisher and lodges itself in the roof.","{'neg': 0.105, 'neu': 0.895, 'pos': 0.0, 'compound': -0.3802}",-0.3802,Negative 😡
Miguel,Male,Latino,Mexican,Protagonist,False,True,But the plaza's where all the foot traffic is.,But the plaza's where all the foot traffic is.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,(blurting) But what about tonight?,But what about tonight?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,Well they're having this talent show- whether to go on.,Well they are having this talent show- whether to go on.,"{'neg': 0.0, 'neu': 0.627, 'pos': 0.373, 'compound': 0.6542}",0.6542,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Mam  looks at Miguel, curious.","Mam  looks at Miguel, curious.","{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.3182}",0.3182,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Well, maybe?","Well, maybe?","{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.2732}",0.2732,Positive 😊
Abuelita,Female,Latino,Mexican,Supporting,False,True,It's D a de los Muertos -- no one's family. She deposits a pile of marigolds in Miguel's arms.,It is D a de los Muertos -- no one's family. She deposits a pile of marigolds in Miguel's arms.,"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative 😡
Abuelita,Female,Latino,Mexican,Supporting,False,True,"CUT TO: Miguel follows his Abuelita to the family ofrenda, holding the pile of flowers as she arranges them on the altar.","CUT TO: Miguel follows his Abuelita to the family ofrenda, holding the pile of flowers as she arranges them on the altar.","{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.4278}",-0.4278,Negative 😡
Abuelita,Female,Latino,Mexican,Supporting,False,True,"los Muertos is the one night of the year our ancestors can come visit us. (beat) We've put their photos on the ofrenda so their spirits can cross we don't put them up, they can't come! (beat) We made all this food -- set out the things they loved in life, sneaking off to who-knows-where. She looks up to find Miguel sneaking away.","los Muertos is the one night of the year our ancestors can come visit us.  We have put their photos on the ofrenda so their spirits can cross we do not put them up, they cannot come!  We made all this food -- set out the things they loved in life, sneaking off to who-knows-where. She looks up to find Miguel sneaking away.","{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.636}",0.636,Positive 😊
Abuelita,Female,Latino,Mexican,Supporting,False,True,Where are you going?,Where are you going?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,16.,16.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Abuelita,Female,Latino,Mexican,Supporting,False,True,family means being HERE for this end up like-- Abuelita looks up to the photo of the faceless musician.,family means being HERE for this end up like-- Abuelita looks up to the photo of the faceless musician.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
